,date,pm25
373,2019-09-16,9.0
374,2019-09-17,6.0
375,2019-09-18,8.0
376,2019-09-19,9.0
377,2019-09-20,8.0
378,2019-09-21,15.0
379,2019-09-22,11.0
380,2019-09-23,15.0
381,2019-09-24,12.0
382,2019-09-25,10.0
383,2019-09-26,15.0
384,2019-09-27,22.0
385,2019-09-28,24.0
386,2019-09-29,51.0
387,2019-09-30,46.0
388,2019-10-01,36.0
389,2019-04-02,23.0
390,2019-04-03,32.0
391,2019-04-04,44.0
392,2019-04-05,61.0
393,2019-04-06,67.0
394,2019-04-07,67.0
395,2019-04-08,70.0
396,2019-04-09,35.0
397,2019-04-10,21.0
398,2019-04-11,22.0
399,2019-04-12,35.0
400,2019-04-13,34.0
401,2019-04-14,25.0
402,2019-04-15,25.0
403,2019-04-16,38.0
404,2019-04-17,33.0
405,2019-04-18,39.0
406,2019-04-19,60.0
407,2019-04-20,50.0
408,2019-04-21,51.0
409,2019-04-22,44.0
410,2019-04-23,39.0
411,2019-04-24,60.0
412,2019-04-25,78.0
413,2019-04-26,100.0
414,2019-04-27,90.0
415,2019-04-28,79.0
416,2019-04-29,65.0
417,2019-04-30,41.0
418,2019-05-01,43.0
419,2019-05-02,45.0
420,2019-05-03,30.0
421,2019-05-04,17.0
422,2019-05-05,20.0
423,2019-05-06,20.0
424,2019-05-07,25.0
425,2019-05-08,19.0
426,2019-05-09,20.0
427,2019-05-10,26.0
428,2019-05-11,41.0
429,2019-05-12,46.0
430,2019-05-13,30.0
431,2019-05-14,19.0
432,2019-05-15,21.0
433,2019-05-16,26.0
434,2019-05-17,33.0
435,2019-05-18,24.0
436,2019-05-19,27.0
437,2019-05-20,41.0
438,2019-05-21,52.0
439,2019-05-22,55.0
440,2019-05-23,59.0
441,2019-05-24,51.0
442,2019-05-25,40.0
443,2019-05-26,23.0
444,2019-05-27,14.0
445,2019-05-28,13.0
446,2019-05-29,20.0
447,2019-05-30,20.0
448,2019-05-31,15.0
449,2019-06-01,15.0
450,2019-06-02,14.0
451,2019-06-03,19.0
452,2019-06-04,21.0
453,2019-06-05,34.0
454,2019-06-06,46.0
455,2019-06-07,58.0
456,2019-06-08,61.0
457,2019-06-09,47.0
458,2019-06-10,21.0
459,2019-06-11,18.0
460,2019-06-12,33.0
461,2019-06-13,18.0
462,2019-06-14,43.0
463,2019-06-15,45.0
464,2019-06-16,25.0
465,2019-06-17,18.0
466,2019-06-18,19.0
467,2019-06-19,25.0
468,2019-06-20,30.0
469,2019-06-21,35.0
470,2019-06-22,38.0
471,2019-06-23,12.0
472,2019-06-24,11.0
473,2019-06-25,14.0
474,2019-06-26,13.0
475,2019-06-27,32.0
476,2019-06-28,35.0
477,2019-06-29,12.0
478,2019-06-30,17.0
479,2019-07-01,21.0
480,2019-01-02,15.0
481,2019-01-03,9.0
482,2019-01-04,10.0
483,2019-01-05,11.0
484,2019-01-06,15.0
485,2019-01-07,27.0
486,2019-01-08,20.0
487,2019-01-09,18.0
488,2019-01-10,9.0
489,2019-01-11,13.0
490,2019-01-12,15.0
491,2019-01-13,16.0
492,2019-01-14,28.0
493,2019-01-15,18.0
494,2019-01-16,19.0
495,2019-01-17,24.0
496,2019-01-18,15.0
497,2019-01-19,10.0
498,2019-01-20,11.0
499,2019-01-21,11.0
500,2019-01-22,23.0
501,2019-01-23,33.0
502,2019-01-24,49.0
503,2019-01-25,62.0
504,2019-01-26,65.0
505,2019-01-27,44.0
506,2019-01-28,47.0
507,2019-01-29,47.0
508,2019-01-30,51.0
509,2019-01-31,43.0
510,2019-02-01,52.0
511,2019-02-02,38.0
512,2019-02-03,39.0
513,2019-02-04,29.0
514,2019-02-05,28.0
515,2019-02-06,32.0
516,2019-02-07,26.0
517,2019-02-08,27.0
518,2019-02-09,37.0
519,2019-02-10,30.0
520,2019-02-11,23.0
521,2019-02-12,30.0
522,2019-02-13,31.0
523,2019-02-14,23.0
524,2019-02-15,23.0
525,2019-02-16,30.0
526,2019-02-17,47.0
527,2019-02-18,59.0
528,2019-02-19,47.0
529,2019-02-20,64.0
530,2019-02-21,35.0
531,2019-02-22,37.0
532,2019-02-23,57.0
533,2019-02-24,40.0
534,2019-02-25,41.0
535,2019-02-26,44.0
536,2019-02-27,40.0
537,2019-02-28,44.0
538,2019-03-01,38.0
539,2019-03-02,32.0
540,2019-03-03,29.0
541,2019-03-04,24.0
542,2019-03-05,15.0
543,2019-03-06,19.0
544,2019-03-07,23.0
545,2019-03-08,38.0
546,2019-03-09,33.0
547,2019-03-10,19.0
548,2019-03-11,23.0
549,2019-03-12,32.0
550,2019-03-13,46.0
551,2019-03-14,34.0
552,2019-03-15,30.0
553,2019-03-16,25.0
554,2019-03-17,17.0
555,2019-03-18,16.0
556,2019-03-19,10.0
557,2019-03-20,14.0
558,2019-03-21,24.0
559,2019-03-22,21.0
560,2019-03-23,21.0
561,2019-03-24,27.0
562,2019-03-25,24.0
563,2019-03-26,24.0
564,2019-03-27,23.0
565,2019-03-28,33.0
566,2019-03-29,42.0
567,2019-03-30,35.0
568,2019-03-31,38.0
569,2019-04-01,31.0
570,2018-10-02,22.0
571,2018-10-03,27.0
