date, pm25, pm10, no2
2019/8/20, 20, 15, 18
2019/8/21, 22, 18, 21
2019/8/22, 25, 15, 20
2019/8/23, 21, 11, 21
2019/8/24, 23, 13, 13
2019/8/25, 32, 13, 9
2019/8/26, 32, 17, 27
2019/8/27, 34, 24, 24
2019/8/28, 44, 22, 12
2019/8/29, 46, 22, 14
2019/8/30, 50, 17, 19
2019/8/31, 40, 12, 13
2019/9/1, 22, 15, 8
2019/9/2, 39, 12, 20
2019/9/3, 28, 10, 18
2019/9/4, 14, 8, 17
2019/9/5, 11, 8, 14
2019/9/6, 16, 7, 15
2019/9/7, 13, 6, 9
2019/9/8, 11, 8, 16
2019/9/9, 20, 7, 15
2019/9/10, 18, 17, 14
2019/9/11, 42, 18, 16
2019/9/12, 39, 9, 11
2019/9/13, 17, 7, 12
2019/9/14, 12, 6, 9
2019/9/15, 8, 5, 11
2019/9/16, 9, 5, 10
2019/9/17, 6, 6, 19
2019/9/18, 8, 7, 14
2019/9/19, 9, 5, 20
2019/9/20, 8, 9, 24
2019/9/21, 15, 6, 14
2019/9/22, 11, 8, 15
2019/9/23, 15, 5, 16
2019/9/24, 12, 6, 17
2019/9/25, 10, 9, 24
2019/9/26, 15, 11, 20
2019/9/27, 22, 11, 15
2019/9/28, 24, 21, 13
2019/9/29, 51, 16, 14
2019/9/30, 46, 13, 21
2019/10/1, 36, 7, 16
2019/4/2, 23, 64, 13
2019/4/3, 32, 54, 8
2019/4/4, 44, 57, 10
2019/4/5, 61, 59, 25
2019/4/6, 67, 51, 10
2019/4/7, 67, 47, 12
2019/4/8, 70, 26, 13
2019/4/9, 35, 29, 13
2019/4/10, 21, 24, 17
2019/4/11, 22, 45, 23
2019/4/12, 35, 47, 27
2019/4/13, 34, 31, 17
2019/4/14, 25, 29, 18
2019/4/15, 25, 49, 31
2019/4/16, 38, 47, 27
2019/4/17, 33, 52, 33
2019/4/18, 39, 70, 44
2019/4/19, 60, 57, 30
2019/4/20, 50, 54, 25
2019/4/21, 51, 42, 9
2019/4/22, 44, 36, 10
2019/4/23, 39, 51, 23
2019/4/24, 60, 60, 18
2019/4/25, 78, 66, 20
