date, pm25, pm10, o3, no2, so2, co
2019/12/2, 28, 16, 14, 17, , 3
2019/12/3, 23, 21, 15, 17, , 3
2019/12/4, 50, 9, 15, 18, , 
2019/12/5, 22, 15, 9, 16, , 
2019/12/6, 25, 15, 11, 15, , 
2019/12/7, 35, 33, 10, 17, , 
2019/12/8, 64, 29, 13, 13, , 
2019/12/9, 65, 17, 17, 15, , 
2019/12/10, 33, 23, 7, 15, , 
2019/12/11, 56, 38, 6, 18, , 
2019/12/12, 64, 45, 5, 20, , 
2019/12/13, 62, 28, 6, 19, , 
2019/12/14, 51, 18, 14, 14, , 
2019/12/15, 45, 16, 6, 11, , 
2019/12/16, 45, 12, 10, 16, , 
2019/12/17, 30, 14, 4, 20, , 
2019/12/18, 29, 26, 7, 20, , 
2019/12/19, 47, 31, 18, 13, , 
2019/12/20, 42, 40, 13, 19, , 
2019/12/21, 34, 51, 3, 23, , 
2019/12/22, 54, 37, 2, 14, , 
2019/12/23, 75, 20, 5, 15, , 
2019/12/24, 60, 29, 2, 16, , 
2019/12/25, 66, 34, 3, 15, , 
2019/12/26, 64, 64, 2, 16, 1, 
2019/12/27, 84, 42, 2, 16, 1, 
2019/12/28, 67, 63, 5, 19, , 
2019/12/29, 73, 61, , 16, , 
2019/12/30, 60, , , , , 
2019/7/3, 31, 20, , , , 2
2019/7/4, 25, 15, , , , 3
2019/7/5, 22, 13, , , , 3
2019/7/7, 36, , , , , 2
2019/7/8, 41, , , , , 2
2019/7/9, 47, 16, , , , 2
2019/7/10, 70, 20, , , 1, 3
2019/7/11, 62, 15, , , , 1
2019/7/12, 59, 14, , , , 3
2019/7/13, 44, 22, , , , 4
2019/7/14, 56, , , , , 4
2019/7/15, 50, , , , , 4
2019/7/16, 76, 20, , , , 4
2019/7/28, 47, 35, 22, 11, , 4
2019/7/29, 46, 29, 20, 10, , 3
2019/7/30, 32, 24, 17, , , 4
2019/7/31, 26, 17, 11, , , 2
2019/8/1, 27, 15, 3, , , 2
2019/8/2, 30, 17, 10, , , 3
2019/8/3, 35, 22, 3, , , 3
2019/8/4, 42, 22, , , , 3
2019/8/5, 23, 15, , , , 3
2019/8/6, 31, 15, , , , 2
2019/8/7, 26, 14, 22, , , 3
2019/8/8, 44, 26, 33, , , 2
2019/8/9, 42, 24, 21, , , 3
2019/8/10, 37, 13, 16, , , 3
2019/8/11, 19, 13, 20, , , 2
2019/8/12, 33, 19, 14, , , 4
2019/8/13, 55, 38, 21, , , 6
2019/8/14, 68, 48, 22, , , 4
