date, pm25, pm10, o3, no2, so2, co
8/20/2014,78,26,18,21, ,6
8/21/2014,63,31,25,21, ,5
8/22/2014,72,56,28,31, ,7
8/23/2014,121,57,37,43, ,16
8/24/2014,117,46,55,36, ,17
8/25/2014,95,65,37,32, ,11
8/26/2014,131,63,26,41, ,23
8/27/2014,136,31,10,43, ,17
8/28/2014,52,29,18,24, ,5
8/29/2014,62,28,14,20, ,4
8/30/2014,64,29,17,17, ,4
8/31/2014,71,27,38,18, ,4
9/1/2014,66,21,29,13, ,4
9/2/2014,40,41,20,27, ,9
9/3/2014,85,14,32,38, ,10
9/4/2014,36,8,18,19, ,5
9/5/2014,23,13,15,12, ,3
9/6/2014,23,25,19,13, ,3
9/7/2014,44,32,28,21, ,5
9/8/2014,70,38,33,20, ,10
9/9/2014,73,43,37,24, ,6
9/10/2014,90,39,26,32, ,8
9/11/2014,65,52,26,33, ,9
9/12/2014,114,39,29,33, ,14
9/13/2014,83,41,34,17, ,5
9/14/2014,89,44,50,19, ,5
9/15/2014,99,56,47,23, ,8
9/16/2014,116,26,28,34, ,12
9/17/2014,56,25,16,21, ,5
9/18/2014,52,33,21,14, ,4
9/19/2014,68,27,24,21, ,5
9/20/2014,69,21,9,24, ,8
9/21/2014,67,10,17,22, ,7
9/22/2014,32,16,16,10, ,4
9/23/2014,30,27,16,10, ,3
9/24/2014,51,38,37,25, ,5
9/25/2014,73,36,26,26, ,7
9/26/2014,87,35,18,33, ,9
9/27/2014,88,14,10,31, ,13
9/28/2014,36,17,11,20, ,7
9/29/2014,41,25,23,8, ,4
9/30/2014,49,29,13,20, ,7
10/1/2014,65,25,23,30, ,11
10/2/2014,57,10,20,23, ,7
10/3/2014,19,14,16,10, ,3
10/4/2014,23,9,16,9, ,2
10/5/2014,15,11,20,6, ,2
10/6/2014,24,22,20,6, ,2
10/7/2014,39,35,21,29, ,7
10/8/2014,72,49,43,25, ,10
10/9/2014,99,48,37,34, ,9
10/10/2014,94,49,35,36, ,9
10/11/2014,89,61,69,33, ,15
10/12/2014,126,52,50,24, ,9
10/13/2014,113,62,51,37, ,10
10/14/2014,148,48,59,36, ,9
10/15/2014,101,40,31,13, ,5
10/16/2014,93,41,74,24, ,7
10/17/2014,90,37,40,20, ,6
10/18/2014,88,28,26,22, ,6
10/19/2014,65,51,25,21, ,13
10/20/2014,127,12,19,9, ,12
10/21/2014,31,19,14,5, ,3
10/22/2014,31,16,10,5, ,3
10/23/2014,33,20,23,12, ,4
10/24/2014,50,37,21,17, ,6
10/25/2014,79,35,18,17, ,7
10/26/2014,85,12,17,9, ,7
10/27/2014,68,21,33,7, ,4
10/28/2014,46,21,39,9, ,4
10/29/2014,46,28,27,20, ,5
10/30/2014,64,44,18,31, ,9
10/31/2014,85,33,36,23, ,6
11/1/2014,65,21,12,22, ,6
11/2/2014,57,26,32,11, ,6
11/3/2014,68,35,18,21, ,6
11/4/2014,79,20,4,26, ,10
11/5/2014,54,7,5,15, ,5
11/6/2014,22,15,26,13, ,4
11/7/2014,33,19,13,20, ,6
11/8/2014,48,8,17,15, ,5
11/9/2014,21,13,26,4, ,3
11/10/2014,35, ,31,8, ,3
11/11/2014,34, ,37,16, ,3
11/12/2014,49, ,20,28, ,6
11/13/2014,61, ,18,25, ,7
