date, pm25, pm10, o3, no2, so2, co
2019/10/6, 54, 26, 53, 17, 2, 6
2019/10/7, 52, 22, 26, 19, 2, 6
2019/10/8, 45, 15, 19, 19, 1, 6
2019/10/9, 27, 17, 38, 22, 2, 7
2019/10/10, 33, 27, 23, 25, 7, 10
2019/10/11, 54, 33, 33, 28, 4, 9
2019/10/12, 66, 22, 38, 18, 1, 7
2019/10/13, 47, 33, 54, 21, 7, 8
2019/10/14, 70, 35, 32, 24, 10, 9
2019/10/15, 58, 43, 52, 32, 12, 10
2019/10/16, 70, 29, 11, 22, 16, 10
2019/10/17, 53, 17, 3, 24, 2, 13
2019/10/18, 46, 20, 26, 24, 2, 11
2019/10/19, 38, 20, 29, 21, 2, 11
2019/10/20, 41, 17, 19, 12, 2, 8
2019/10/21, 36, 21, 31, 25, 2, 10
2019/10/22, 37, 31, 23, 22, 5, 8
2019/10/23, 54, 33, 32, 24, 7, 8
2019/10/24, 59, 36, 30, 33, 3, 11
2019/10/25, 68, 32, 13, 34, 6, 13
2019/10/26, 71, 26, 31, 30, 3, 11
2019/10/27, 64, 39, 61, 31, 6, 12
2019/10/28, 91, 49, 51, 44, 3, 16
2019/10/29, 109, 44, 41, 33, 3, 12
2019/10/30, 81, 39, 46, 35, 3, 12
2019/10/31, 81, 27, 17, 26, 3, 10
2019/11/1, 51, 38, 39, 26, 5, 10
2019/11/2, 70, 37, 10, 26, 18, 10
2019/11/3, 76, 20, 37, 21, 6, 8
2019/11/4, 46, 39, 40, 32, 5, 12
2019/11/5, 87, 41, 33, 34, 6, 12
2019/11/6, 75, 33, 32, 26, 6, 9
2019/11/7, 58, 41, 29, 28, 13, 9
2019/11/8, 69, 31, 26, 20, 8, 8
2019/11/9, 54, 19, 25, 17, 3, 7
2019/11/10, 31, 37, 40, 24, 10, 10
2019/11/11, 70, 41, 39, 30, 5, 11
2019/11/12, 70, 35, 42, 29, 7, 9
2019/11/13, 60, 31, 24, 18, 13, 9
2019/11/14, 44, 21, 34, 23, 3, 8
2019/11/15, 31, 35, 36, 29, 4, 10
2019/11/16, 67, 50, 32, 32, 7, 11
2019/11/17, 91, 39, 47, 26, 12, 10
2019/11/18, 67, 34, 46, 26, 6, 9
2019/11/19, 55, 44, 42, 36, 7, 13
2019/11/20, 88, 47, 46, 38, 8, 13
2019/11/21, 82, 56, 35, 39, 8, 14
2019/11/22, 94, 71, 34, 40, 7, 13
2019/11/23, 78, 110, 49, 34, 11, 11
2019/11/24, 70, , 40, 30, 18, 10
2019/11/27, 60, 55, 59, 35, 4, 10
2019/11/28, 82, 50, 37, 34, 18, 10
2019/11/29, 70, 53, 40, 36, 15, 11
2019/11/30, 87, 55, 45, 38, 7, 13
2019/12/1, 80, 50, 13, 40, 4, 13
2019/12/2, 80, , , , , 
2019/12/4, 63, 52, 45, 43, 5, 12
2019/12/5, 76, 57, 63, 47, 7, 12
2019/12/6, 84, 55, 26, 40, 9, 11
2019/12/7, 71, 47, 46, 35, 15, 7
2019/12/8, 79, 54, 63, 37, 17, 11
2019/12/9, 92, 63, 56, 51, 6, 16
2019/12/10, 96, 56, 60, 46, 4, 13
2019/12/11, 86, 59, 46, 34, 5, 9
2019/12/12, 97, 55, 48, 35, 11, 11
2019/12/13, 89, 44, 33, 33, 6, 12
2019/12/14, 65, 52, 55, 41, 5, 12
2019/12/15, 75, 59, 70, 43, 6, 13
2019/12/16, 94, 43, 46, 37, 3, 10
2019/12/17, 64, 52, 44, 38, 5, 11
2019/12/18, 75, 64, 25, 36, 23, 10
2019/12/19, 108, 64, 58, 41, 12, 11
2019/12/20, 107, 69, 24, 58, 20, 15
2019/12/21, 113, 64, 30, 44, 16, 12
2019/12/22, 95, 51, 13, 28, 21, 8
2019/12/23, 102, 60, 44, 38, 11, 11
2019/12/24, 115, 43, 30, 31, 5, 11
2019/12/25, 69, 64, 62, 33, 6, 14
2019/12/26, 121, 48, 48, 41, 8, 13
2019/12/27, 83, 63, 69, 44, 7, 15
2019/12/28, 108, 54, 5, 41, 3, 13
2019/12/29, 96, , , , , 
2019/7/2, 46, 29, 27, 34, 4, 9
2019/7/3, 57, 23, 39, 27, 2, 7
2019/7/4, 50, 43, 52, 32, 6, 10
2019/7/5, 82, 46, 60, 28, 9, 7
2019/7/6, 84, 43, 35, 22, 7, 7
2019/7/7, 79, 36, 66, 17, 8, 5
2019/7/8, 74, 39, 50, 28, 6, 8
2019/7/9, 83, 40, 38, 31, 3, 10
2019/7/10, 85, 33, 34, 25, 11, 6
2019/7/11, 76, 37, 32, 40, 3, 10
2019/7/12, 82, 33, 44, 33, 3, 9
2019/7/13, 81, 25, 58, 27, 2, 7
2019/7/14, 66, 35, 54, 24, 4, 8
2019/7/15, 83, 32, 54, 27, 4, 8
2019/7/16, 75, 30, 49, 22, 5, 6
2019/7/17, 70, 26, 35, 25, 3, 6
2019/7/18, 59, 35, 45, 28, 9, 8
2019/7/19, 76, 22, 47, 27, 3, 7
2019/7/20, 55, 32, 70, 24, 2, 6
2019/7/21, 71, 19, 41, 17, 3, 5
2019/7/22, 49, 22, 52, 22, 3, 6
2019/7/23, 49, 26, 44, 25, 3, 6
2019/7/24, 59, 26, 34, 31, 2, 8
2019/7/25, 64, 28, 23, 34, 2, 9
2019/7/26, 71, 26, 24, 32, 2, 9
2019/7/27, 69, 16, 52, 21, 2, 6
2019/7/28, 41, 21, 54, 20, 2, 5
2019/7/29, 54, 24, 41, 27, 3, 8
2019/7/30, 54, 29, 48, 21, 3, 5
2019/7/31, 61, 39, 45, 25, 7, 6
2019/8/1, 81, 28, 48, 23, 5, 6
2019/8/2, 61, 26, 65, 27, 7, 6
2019/8/3, 56, 27, 63, 22, 3, 6
2019/8/4, 58, 23, 64, 15, 5, 4
2019/8/5, 57, 24, 51, 26, 4, 7
2019/8/6, 59, 24, 42, 29, 3, 8
2019/8/7, 62, 20, 31, 30, 2, 8
2019/8/8, 54, 19, 58, 24, 3, 7
2019/8/9, 51, 38, 46, 31, 7, 8
2019/8/10, 85, 21, 25, 18, 4, 6
2019/8/11, 52, 22, 47, 20, 3, 6
2019/8/12, 59, 14, 40, 20, 3, 9
2019/8/13, 42, 24, 51, 21, 4, 
2019/8/14, 57, 20, 46, 23, 3, 6
2019/8/15, 53, 20, 57, 24, 4, 7
2019/8/16, 55, 27, 59, 25, 4, 
2019/8/17, 66, 31, 67, 26, 3, 5
2019/8/18, 75, 29, 63, 24, 12, 5
2019/8/19, 70, 21, 24, 15, 4, 
2019/8/20, 52, 24, 33, 17, 4, 
2019/8/21, 42, 32, 46, 26, 4, 8
2019/8/22, 55, 40, 38, 29, 4, 9
2019/8/23, 68, 40, 53, 31, 2, 9
2019/8/24, 80, 37, 70, 34, 2, 10
2019/8/25, 78, 33, 53, 24, 2, 8
2019/8/26, 71, 31, 64, 33, 3, 9
2019/8/27, 64, 36, 65, 29, 4, 10
2019/8/28, 69, 40, 42, 25, 2, 7
2019/8/29, 70, 40, 61, 25, 3, 7
2019/8/30, 67, 38, 55, 29, 3, 8
2019/8/31, 62, 37, 48, 23, 5, 7
2019/9/1, 54, 34, 62, 18, 3, 6
2019/9/2, 54, 30, 36, 18, 1, 7
2019/9/3, 48, 31, 45, 20, 2, 6
2019/9/4, 59, 39, 43, 27, 2, 9
2019/9/5, 61, 33, 50, 28, 2, 8
2019/9/6, 59, 38, 56, 25, 2, 7
2019/9/7, 71, 38, 41, 27, 11, 8
2019/9/8, 76, 27, 56, 22, 3, 7
2019/9/9, 55, 37, 45, 31, 3, 8
2019/9/10, 64, 31, 41, 29, 3, 9
2019/9/11, 65, 33, 32, 25, 2, 9
2019/9/12, 60, 30, 29, 23, 7, 8
2019/9/13, 58, 23, 13, 26, 1, 10
2019/9/14, 41, 18, 26, 20, 1, 7
2019/9/15, 32, 18, 57, 17, 1, 7
2019/9/16, 34, 34, 52, 18, 15, 7
2019/9/17, 74, 34, 49, 28, 4, 9
2019/9/18, 70, 15, 30, 21, 1, 8
2019/9/19, 37, 25, 33, 32, 2, 11
2019/9/20, 59, 41, 59, 34, 6, 12
2019/9/21, 82, 36, 43, 26, 2, 9
2019/9/22, 67, 30, 56, 18, 5, 7
2019/9/23, 60, 32, 61, 24, 4, 7
2019/9/24, 62, 42, 63, 27, 15, 9
2019/9/25, 78, 46, 58, 36, 3, 11
2019/9/26, 100, 46, 51, 29, 2, 10
2019/9/27, 97, 31, 46, 23, 1, 7
2019/9/28, 58, 35, 40, 25, 3, 8
2019/9/29, 63, 12, 12, 13, 2, 6
2019/9/30, 26, 12, 24, 16, 1, 6
2019/10/1, 26, 22, 36, 21, 2, 9
2019/4/2, 81, 51, 42, 37, 16, 11
2019/4/3, 86, 48, 50, 29, , 
2019/4/4, 72, 49, 85, 31, , 
2019/4/5, 88, 52, 59, 32, , 
2019/4/6, 88, 49, 65, 28, , 
2019/4/7, 89, 43, 67, 22, , 
2019/4/8, 83, 46, 81, 27, , 
2019/4/9, 91, 32, 61, 22, , 
