date, pm25, pm10, o3, so2, co
6/27/2015,74, , , , 
6/28/2015,67, , , , 
6/29/2015,58, , , , 
6/30/2015,56, , , , 
7/1/2015,61, , , , 
7/2/2015,69, , , , 
7/3/2015,54, , , , 
7/4/2015,43, , , , 
7/5/2015,60, , , , 
7/6/2015,65, , , , 
7/7/2015,75, , , , 
7/8/2015,74, , , , 
7/9/2015,63, ,9, , 
7/10/2015,34, ,9, , 
7/11/2015,45, ,10, , 
7/12/2015,55, ,15, , 
7/13/2015,43, ,14, , 
7/14/2015,29, , , , 
7/15/2015,32, , , , 
7/16/2015,39, , , , 
7/17/2015,44, , , , 
7/18/2015,49, , , , 
7/19/2015,53, , , , 
7/20/2015,63, , , , 
7/21/2015,61, , , , 
7/22/2015,56, , , , 
7/23/2015,48, , , , 
7/24/2015,42, , , , 
7/25/2015,32, , , , 
7/26/2015,32, , , , 
7/27/2015,33, , , , 
7/28/2015,53, , , , 
7/29/2015,61, , , , 
7/30/2015,42, , , , 
7/31/2015,35, , , , 
8/1/2015,55, , , , 
8/2/2015,66, , , , 
8/3/2015,49, , , , 
8/4/2015,50, , , , 
8/5/2015,47, , , , 
8/6/2015,51, , , , 
8/7/2015,58, , , , 
8/8/2015,43, , , , 
8/9/2015,45, , , , 
8/10/2015,46, , , , 
8/11/2015,43, , , , 
8/12/2015,42, , , , 
8/13/2015,49, , , , 
8/14/2015,44, , , , 
8/15/2015,44, , , , 
8/18/2015,14, , , , 
8/19/2015,23, , , , 
8/20/2015,25, , , , 
8/21/2015,26, , , , 
8/22/2015,31, , , , 
8/23/2015,34, , , , 
8/24/2015,33, , , , 
8/25/2015,36, , , , 
8/26/2015,35, , , , 
8/27/2015,31, , , , 
8/28/2015,32, , , , 
8/29/2015,39, , , , 
8/30/2015,53, , , , 
8/31/2015,22, , , , 
9/1/2015,38, , , , 
9/2/2015,42, , , , 
9/3/2015,38, , , , 
9/4/2015,38, , , , 
9/5/2015,40, , , , 
9/6/2015,41, , , , 
9/7/2015,33, , , , 
9/8/2015,39, , , , 
9/9/2015,33, , , , 
9/10/2015,36, , , , 
9/11/2015,34, , , , 
9/12/2015,30, , , , 
9/13/2015,28, , , , 
9/14/2015,40, , , , 
9/15/2015,42, , , , 
9/16/2015,49, , , , 
9/17/2015,35, , , , 
9/18/2015,31, , , , 
9/19/2015,40, , , , 
9/20/2015,22, , , , 
9/21/2015,27, , , , 
9/22/2015,38, , , , 
9/23/2015,31, , , , 
9/24/2015,32, , , , 
9/25/2015,31, , , , 
9/26/2015,29, , , , 
9/27/2015,29, , , , 
9/28/2015,23, , , , 
9/29/2015,26, , , , 
9/30/2015,35, , , , 
10/1/2015,33, , , , 
10/2/2015,31, , , , 
10/3/2015,36, , , , 
10/4/2015,25, , , , 
10/5/2015,21, , , , 
10/6/2015,25, , , , 
10/7/2015,23, , , , 
10/8/2015,30, , , , 
10/9/2015,49, , , , 
10/10/2015,42, , , , 
10/11/2015,33, , , , 
10/12/2015,31, , , , 
10/13/2015,42, , , , 
10/14/2015,46, , , , 
10/15/2015,37, , , , 
10/16/2015,47, , , , 
10/17/2015,42, , , , 
10/18/2015,27, , , , 
10/19/2015,37, , , , 
10/20/2015,39, , , , 
10/21/2015,32, , , , 
10/22/2015,31, , , , 
10/23/2015,29, , , , 
10/24/2015,28, , , , 
10/25/2015,30, , , , 
10/26/2015,26, , , , 
10/27/2015,34, , , , 
10/28/2015,26, , , , 
10/29/2015,29, , , , 
10/30/2015,45, , , , 
10/31/2015,38, , , , 
11/1/2015,36, , , , 
11/2/2015,31, , , , 
11/3/2015,29, , , , 
11/4/2015,29, , , , 
11/5/2015,32, , , , 
11/6/2015,27, , , , 
11/7/2015,31, , , , 
11/8/2015,31, , , , 
11/9/2015,28, , , , 
11/10/2015,30, , , , 
11/11/2015,29, , , , 
11/12/2015,34, , , , 
11/13/2015,38, , , , 
11/14/2015,37, , , , 
11/15/2015,32, , , , 
11/16/2015,29, , , , 
11/17/2015,34, , , , 
11/18/2015,28, , , , 
11/19/2015,37, , , , 
11/20/2015,38, , , , 
11/21/2015,35, , , , 
11/22/2015,26, , , , 
11/23/2015,28, , , , 
11/24/2015,41, , , , 
11/25/2015,31, , , , 
11/26/2015,35, , , , 
11/27/2015,36, , , , 
11/28/2015,33, , , , 
11/29/2015,30, , , , 
11/30/2015,28, , , , 
12/1/2015,32, , , , 
12/2/2015,33, , , , 
12/3/2015,37, , , , 
12/4/2015,38, , , , 
12/5/2015,28, , , , 
12/6/2015,29, , , , 
12/7/2015,24, , , , 
12/8/2015,35, , , , 
12/9/2015,33, , , , 
12/10/2015,31, , , , 
12/11/2015,40, , , , 
12/12/2015,37, , , , 
12/13/2015,28, , , , 
12/14/2015,27, , , , 
12/15/2015,29, , , , 
12/16/2015,34, , , , 
12/17/2015,32, , , , 
12/18/2015,28, , , , 
12/19/2015,33, , , , 
12/20/2015,33, , , , 
12/21/2015,32, , , , 
12/22/2015,40, , , , 
12/23/2015,38, , , , 
12/24/2015,43, , , , 
12/25/2015,40, , , , 
12/26/2015,39, , , , 
12/27/2015,34, , , , 
12/28/2015,35, , , , 
12/29/2015,34, , , , 
12/30/2015,33, , , , 
12/31/2015,30, , , , 
1/1/2016,30, , , , 
1/3/2016,41, , , , 
1/4/2016,33, , , , 
1/5/2016,18, , , , 
1/6/2016,37, , , , 
1/7/2016,28, , , , 
1/8/2016,32, , , , 
1/9/2016,38, , , , 
1/10/2016,46, , , , 
1/11/2016,31, , , , 
1/12/2016,34, , , , 
1/13/2016,31, , , , 
1/14/2016,39, , , , 
1/15/2016,39, , , , 
1/16/2016,26, , , , 
1/17/2016,29, , , , 
1/18/2016,35, , , , 
1/19/2016,25, , , , 
1/20/2016,25, , , , 
1/21/2016,26, , , , 
1/22/2016,31, , , , 
1/23/2016,25, , , , 
1/24/2016,29, , , , 
1/25/2016,36, , , , 
1/26/2016,38, , , , 
1/27/2016,28, , , , 
1/28/2016,36, , , , 
1/29/2016,27, , , , 
1/30/2016,22, , , , 
1/31/2016,34, , , , 
2/1/2016,38, , , , 
2/2/2016,33, , , , 
2/3/2016,34, , , , 
2/4/2016,30, , , , 
2/5/2016,33, , , , 
2/6/2016,31, , , , 
2/7/2016,34, , , , 
2/8/2016,18, , , , 
2/9/2016,29, , , , 
2/10/2016,33, , , , 
2/11/2016,35, , , , 
2/12/2016,32, , , , 
2/13/2016,45, , , , 
2/14/2016,45, , , , 
2/15/2016,37, , , , 
2/16/2016,41, , , , 
2/17/2016,33, , , , 
2/18/2016,28, , , , 
2/19/2016,43, , , , 
2/20/2016,35, , , , 
2/21/2016,32, , , , 
2/22/2016,22, , , , 
2/23/2016,27, , , , 
2/24/2016,29, , , , 
2/25/2016,40, , , , 
2/26/2016,34, , , , 
2/27/2016,34, , , , 
2/28/2016,31, , , , 
2/29/2016,32, , , , 
3/1/2016,35, , , , 
3/2/2016,33, , , , 
3/3/2016,41, , , , 
3/4/2016,39, , , , 
3/5/2016,40, , , , 
3/6/2016,43, , , , 
3/7/2016,40, , , , 
3/8/2016,34, , , , 
3/9/2016,29, , , , 
3/10/2016,34, , , , 
3/11/2016,43, , , , 
3/12/2016,43, , , , 
3/13/2016,39, , , , 
3/14/2016,38, , , , 
3/15/2016,40, , , , 
3/16/2016,62, , , , 
3/18/2016,46, , , , 
