date, pm25, pm10, o3, no2, so2, co
2019/10/31, 28, , 29, 25, 4, 6
2019/11/1, 44, , 27, 28, 2, 7
2019/11/2, 52, , 38, 28, 1, 7
2019/11/3, 56, , 36, 18, 2, 6
2019/11/4, 51, , 24, 15, 2, 4
2019/11/5, 43, , 22, 16, 2, 4
2019/11/6, 39, , 22, 8, 1, 3
2019/11/7, 42, , 26, 10, 1, 3
2019/11/8, 49, , 26, 13, 1, 4
2019/11/9, 71, , 24, 11, 1, 4
2019/11/10, 63, , 24, 8, , 3
2019/11/11, 43, , 18, 23, 2, 5
2019/11/12, 49, , 26, 19, 2, 5
2019/11/13, 45, , 28, 10, 1, 4
2019/11/14, 37, , 25, 11, , 3
2019/11/15, 35, , 21, 10, , 3
2019/11/16, 14, , 13, 11, 1, 4
2019/11/17, 37, , 29, 19, 1, 7
2019/11/18, 49, , 31, 23, 2, 6
2019/11/19, 62, , 26, 7, , 3
2019/11/20, 33, , 23, 15, 1, 4
2019/11/21, 34, , 23, 13, 1, 4
2019/11/22, 45, , 22, 21, 2, 5
2019/11/23, 53, , 25, 20, 1, 4
2019/11/24, 56, , 21, 16, 2, 4
2019/11/25, 51, , 28, 12, 1, 3
2019/11/26, 39, , 29, 9, 1, 2
2019/11/27, 25, , 30, 9, , 2
2019/11/28, 26, , 24, 9, 1, 2
2019/11/29, 28, , 26, 13, 1, 3
2019/11/30, 22, , 26, 6, 1, 2
2019/12/1, 16, , 27, 3, , 2
2019/12/2, 10, , 25, 14, , 3
2019/12/3, 16, , 15, 16, , 4
2019/12/4, 23, , 6, 17, , 4
2019/12/5, 35, , 9, 18, 1, 4
2019/12/6, 43, , 27, 10, , 3
2019/12/7, 19, , 30, 6, , 2
2019/12/8, 17, , 33, 6, , 3
2019/12/9, 18, , 23, 14, 1, 3
2019/12/10, 29, , 21, 12, 1, 3
2019/12/11, 37, , 13, 18, , 4
2019/12/12, 34, , 16, 9, , 3
2019/12/13, 13, , 21, 11, , 3
2019/12/14, 22, , 32, 4, , 2
2019/12/15, 18, , 29, 6, , 3
2019/12/16, 18, , 17, 14, 1, 4
2019/12/17, 23, , 15, 20, 1, 5
2019/12/18, 42, , 27, 9, , 3
2019/12/19, 17, , 26, 15, , 4
2019/12/20, 30, , 12, 20, 2, 6
2019/12/21, 52, , 23, 15, 1, 5
2019/12/22, 48, , 32, 6, , 3
2019/12/23, 20, , 20, 15, 1, 4
2019/12/24, 24, , 28, 12, , 4
2019/12/25, 22, , 27, 4, , 3
2019/12/26, 16, , 23, 15, , 4
2019/12/27, 27, , 17, 20, , 6
2019/12/28, 33, , 15, 16, , 6
2019/12/29, 38, , 24, 8, , 4
2019/12/30, 26, , , , , 
2019/7/2, 35, , 20, 4, 1, 2
2019/7/3, 42, , 21, 4, 2, 2
2019/7/4, 41, , 21, 2, 1, 2
2019/7/5, 36, , 23, 3, 1, 2
2019/7/6, 35, , 23, 2, 1, 2
2019/7/7, 44, , 22, 1, 1, 2
2019/7/8, 42, , 22, 3, 1, 2
2019/7/9, 32, , 20, 4, 1, 2
2019/7/10, 19, , 10, 4, 1, 2
2019/7/11, 18, , 13, 3, 3, 2
2019/7/12, 11, , 12, 3, 2, 2
2019/7/13, 20, , 14, 2, 1, 2
2019/7/14, 24, , 18, 3, 1, 2
2019/7/15, 25, , 16, 5, 2, 2
2019/7/16, 33, , 16, 3, 1, 2
2019/7/17, 26, , 21, 4, 3, 2
2019/7/18, 36, , 16, 2, 1, 2
2019/7/19, 18, , 21, 5, 1, 2
2019/7/20, 42, , 21, 2, 1, 2
2019/7/21, 23, , 21, 3, 1, 2
2019/7/22, 27, , 20, 4, 1, 2
2019/7/23, 29, , 14, 3, 1, 2
2019/7/24, 26, , 21, 9, 2, 3
2019/7/25, 48, , 21, 4, 3, 2
2019/7/26, 42, , 19, 3, 1, 2
2019/7/27, 15, , 20, 6, 1, 3
2019/7/28, 26, , 21, 4, 1, 2
2019/7/29, 46, , 19, 3, 1, 2
2019/7/30, 51, , 22, 4, 1, 2
2019/7/31, 38, , 22, 4, 1, 2
2019/8/1, 36, , 13, 3, 1, 2
2019/8/2, 13, , 11, 3, 1, 2
2019/8/3, 14, , 13, 2, 1, 2
2019/8/4, 10, , 22, 2, 1, 2
2019/8/5, 27, , 23, 4, 1, 3
2019/8/6, 43, , 22, 4, 1, 2
2019/8/7, 42, , 25, 3, 3, 2
2019/8/8, 38, , 24, 4, 1, 2
2019/8/9, 27, , 21, 4, 1, 2
2019/8/10, 20, , 17, 2, , 1
2019/8/11, 9, , 19, 3, , 1
2019/8/12, 17, , 19, 6, 1, 2
2019/8/13, 31, , 19, 7, 1, 2
2019/8/14, 34, , 24, 12, 1, 3
2019/8/15, 47, , 23, 11, 1, 3
2019/8/16, 55, , 21, 5, 1, 2
2019/8/17, 57, , 24, 4, , 2
2019/8/18, 45, , 23, 5, , 2
2019/8/19, 22, , 21, 3, , 1
2019/8/20, 17, , 20, 4, , 2
2019/8/21, 24, , 20, 4, 3, 2
2019/8/22, 23, , 18, 4, 3, 2
2019/8/23, 27, , 20, 4, 1, 2
2019/8/24, 32, , 25, 3, , 2
2019/8/25, 29, , 28, 4, , 2
2019/8/26, 21, , 24, 8, 1, 2
2019/8/27, 18, , 24, 6, , 2
2019/8/28, 19, , 25, 2, , 2
2019/8/29, 26, , 21, 2, , 2
2019/8/30, 41, , 18, 4, 1, 2
2019/8/31, 29, , 19, 4, 1, 2
2019/9/1, 29, , 19, 3, 1, 1
2019/9/2, 19, , 20, 3, , 1
2019/9/3, 26, , 19, 3, , 1
2019/9/4, 21, , 18, 4, 1, 2
2019/9/5, 21, , 21, 3, 1, 1
2019/9/6, 15, , 21, 3, 1, 1
2019/9/7, 15, , 21, 2, , 1
2019/9/8, 15, , 21, 3, 1, 1
2019/9/9, 24, , 23, 5, , 2
2019/9/10, 23, , 24, 6, , 2
2019/9/11, 28, , 24, 10, 1, 3
2019/9/12, 38, , 26, 17, 1, 4
2019/9/13, 39, , 38, 17, 2, 4
2019/9/14, 45, , 19, 5, 1, 2
2019/9/18, 22, , 21, 5, 1, 2
2019/9/19, 14, , 22, 8, 2, 2
2019/9/20, 22, , 22, 12, 5, 3
2019/9/21, 30, , 27, 10, 2, 3
2019/9/22, 31, , 17, 4, , 2
2019/9/23, 26, , 19, 8, 1, 2
2019/9/24, 26, , 28, 17, 4, 4
2019/9/25, 47, , 30, 18, 2, 4
2019/9/26, 46, , 28, 7, 1, 2
2019/9/27, 48, , 23, 5, 1, 2
2019/9/28, 18, , 26, 4, 1, 1
2019/9/29, 38, , 24, 5, 1, 2
2019/9/30, 26, , 25, 7, , 2
2019/10/1, 18, , 21, 12, 1, 3
2019/4/2, 25, , 32, 6, 1, 2
2019/4/3, 14, , 28, 6, 4, 3
2019/4/4, 11, , 30, 4, 2, 2
2019/4/5, 6, , 37, 5, , 2
2019/4/6, 13, , 36, 4, , 2
2019/4/7, 19, , 28, 3, , 3
2019/4/8, 25, , 23, 5, 2, 3
2019/4/9, 24, , 36, 5, 1, 3
2019/4/10, 25, , 30, 6, 1, 3
2019/4/11, 29, , 32, 8, , 3
2019/4/12, 37, , 30, 8, 1, 4
2019/4/13, 27, , 35, 6, 1, 4
2019/4/14, 41, , 38, 3, , 3
2019/4/15, 28, , 37, 4, , 3
2019/4/16, 31, , 32, 4, 2, 3
2019/4/17, 19, , 29, 7, 8, 5
2019/4/18, 27, , 36, 11, 2, 4
2019/4/19, 33, , 24, 7, 1, 3
2019/4/20, 18, , 39, 2, 1, 2
2019/4/21, 28, , 31, 5, , 3
2019/4/22, 48, , 28, 10, 2, 3
2019/4/23, 54, , 31, 17, 1, 4
2019/4/24, 56, , 29, 11, 1, 3
2019/4/25, 61, , 34, 4, , 2
2019/4/26, 56, , 36, 6, , 2
2019/4/27, 54, , 39, 2, , 2
2019/4/28, 56, , 37, 2, , 2
2019/4/29, 55, , 34, 4, 2, 2
2019/4/30, 48, , 36, 3, , 2
2019/5/1, 49, , 36, 6, 1, 2
2019/5/2, 51, , 37, 7, 1, 2
2019/5/3, 46, , 34, 5, 1, 2
2019/5/4, 46, , 36, 2, , 2
2019/5/5, 37, , 36, 2, , 2
2019/5/6, 17, , 30, 4, , 2
2019/5/7, 12, , 28, 4, 2, 2
2019/5/8, 12, , 28, 3, 1, 2
2019/5/9, 19, , 29, 3, , 2
2019/5/10, 21, , 28, 4, , 2
2019/5/11, 21, , 32, 2, , 2
2019/5/12, 24, , 30, 2, , 2
2019/5/13, 27, , 25, 3, , 2
2019/5/14, 20, , 27, 4, , 2
2019/5/15, 19, 17, 26, 5, , 2
2019/5/16, 19, 10, 36, 4, 1, 2
2019/5/17, 31, 12, 32, 3, 1, 2
2019/5/18, 28, 9, 30, 5, , 2
2019/5/19, 16, 6, 40, 3, , 2
2019/5/20, 17, 11, 36, 5, 1, 3
2019/5/21, 18, 7, 33, 3, , 2
2019/5/22, 26, , 28, 5, 1, 2
2019/5/23, 33, , 24, 4, , 2
2019/5/24, 49, , 26, 3, 1, 2
2019/5/25, 18, , 31, 2, , 2
2019/5/26, 38, , 36, 2, , 2
2019/5/27, 26, , 26, 3, , 2
2019/5/28, 28, , 27, 4, , 2
2019/5/29, 34, , 24, 4, 2, 2
2019/5/30, 48, , 22, 3, 2, 2
2019/5/31, 19, , 22, 5, 1, 2
2019/6/1, 28, , 25, 3, 1, 2
2019/6/2, 30, , 24, 2, , 2
2019/6/3, 12, , 24, 4, 1, 2
2019/6/4, 33, , 26, 7, 1, 2
